timestamp,fps,latency_ms,cpu_usage,mem_usage,status
2026-06-10 13:06:42,31.0,45,15.9,1493.3,normal
2026-06-10 13:06:42,30.6,24,15.8,1493.6,normal
2026-06-10 13:06:42,30.6,29,9.3,1493.6,normal
2026-06-10 13:06:42,30.3,35,10.9,1493.7,normal
2026-06-10 13:06:42,30.0,36,10.5,1493.7,normal
2026-06-10 13:06:42,30.2,26,14.6,1493.7,normal
2026-06-10 13:06:42,30.0,37,16.9,1493.7,normal
2026-06-10 13:06:42,30.0,35,15.5,1493.7,normal
2026-06-10 13:06:42,29.9,34,13.2,1493.7,normal
2026-06-10 13:06:42,30.4,32,12.2,1493.7,normal
2026-06-10 13:06:42,30.3,32,10.2,1493.7,normal
2026-06-10 13:06:42,30.1,30,16.0,1493.7,normal
2026-06-10 13:06:42,29.9,43,13.2,1494.0,closed_eyes
2026-06-10 13:06:42,30.1,25,19.0,1494.1,closed_eyes
2026-06-10 13:06:43,30.1,32,15.4,1494.1,closed_eyes
2026-06-10 13:06:43,29.9,42,13.2,1494.1,closed_eyes
2026-06-10 13:06:43,30.1,24,8.1,1494.1,closed_eyes
2026-06-10 13:06:43,30.1,32,15.4,1494.1,closed_eyes
2026-06-10 13:06:43,30.2,31,14.3,1494.1,closed_eyes
2026-06-10 13:06:43,30.1,36,8.9,1494.1,normal
2026-06-10 13:06:43,30.1,32,8.2,1494.1,normal
2026-06-10 13:06:43,30.2,32,15.7,1494.1,normal
2026-06-10 13:06:43,30.2,35,8.9,1494.1,normal
2026-06-10 13:06:43,30.2,31,15.7,1494.1,normal
2026-06-10 13:06:43,30.1,33,15.1,1494.1,normal
2026-06-10 13:06:43,30.2,35,14.0,1494.1,normal
2026-06-10 13:06:43,30.3,32,10.0,1494.1,normal
2026-06-10 13:06:43,30.4,32,14.0,1494.1,normal
2026-06-10 13:06:43,30.2,36,9.1,1494.1,normal
2026-06-10 13:06:43,30.2,32,10.2,1494.1,normal
2026-06-10 13:06:43,30.3,33,18.2,1494.1,normal
2026-06-10 13:06:43,30.2,35,12.5,1494.1,normal
2026-06-10 13:06:43,30.2,36,10.7,1494.1,normal
2026-06-10 13:06:43,29.4,59,45.3,1494.1,normal
2026-06-10 13:06:43,29.9,18,34.6,1494.1,normal
2026-06-10 13:06:43,30.5,21,30.3,1494.1,normal
2026-06-10 13:06:43,30.3,32,10.2,1494.1,normal
2026-06-10 13:06:43,30.3,29,20.8,1494.1,normal
2026-06-10 13:06:43,30.1,41,9.2,1494.1,normal
2026-06-10 13:06:43,30.4,27,11.9,1494.1,normal
2026-06-10 13:06:43,30.2,33,8.0,1494.1,normal
2026-06-10 13:06:43,30.3,35,13.8,1494.1,normal
2026-06-10 13:06:43,30.3,34,7.7,1494.1,normal
2026-06-10 13:06:43,30.2,37,13.3,1494.1,normal
2026-06-10 13:06:44,30.2,34,16.1,1494.1,normal
2026-06-10 13:06:44,30.3,26,16.7,1494.1,normal
2026-06-10 13:06:44,30.3,31,11.8,1494.1,normal
2026-06-10 13:06:44,30.5,36,14.0,1514.7,normal
2026-06-10 13:06:44,30.3,32,10.0,1514.7,normal
2026-06-10 13:06:44,30.3,32,10.0,1514.7,normal
2026-06-10 13:06:44,30.6,31,10.2,1514.7,normal
2026-06-10 13:06:44,30.3,37,11.9,1515.6,normal
2026-06-10 13:06:44,30.3,31,12.0,1515.6,normal
2026-06-10 13:06:44,30.3,32,13.5,1515.6,normal
2026-06-10 13:06:44,30.3,36,10.3,1516.5,normal
2026-06-10 13:06:44,30.3,32,8.2,1516.5,normal
2026-06-10 13:06:44,30.3,32,15.1,1516.5,normal
2026-06-10 13:06:44,30.3,36,10.5,1516.5,normal
2026-06-10 13:06:44,30.3,31,8.2,1516.5,normal
2026-06-10 13:06:44,30.3,34,9.4,1516.5,normal
2026-06-10 13:06:44,30.3,34,7.7,1516.5,normal
2026-06-10 13:06:44,30.3,32,11.8,1516.5,normal
2026-06-10 13:06:44,30.3,33,9.6,1516.5,normal
2026-06-10 13:06:44,30.1,40,14.1,1516.5,normal
2026-06-10 13:06:44,30.1,34,9.4,1516.5,normal
2026-06-10 13:06:44,30.2,30,8.7,1516.5,normal
2026-06-10 13:06:44,30.3,28,11.6,1516.5,normal
2026-06-10 13:06:44,30.3,37,14.5,1516.5,normal
2026-06-10 13:06:44,30.9,36,10.3,1516.5,normal
2026-06-10 13:06:44,30.6,30,13.0,1516.5,normal
2026-06-10 13:06:44,30.4,29,10.9,1516.5,normal
2026-06-10 13:06:44,30.3,37,13.3,1516.5,normal
2026-06-10 13:06:44,30.3,27,11.6,1516.5,normal
2026-06-10 13:06:44,30.4,36,10.5,1516.5,normal
2026-06-10 13:06:45,30.2,36,7.3,1516.5,normal
2026-06-10 13:06:45,30.2,33,9.8,1516.5,normal
2026-06-10 13:06:45,30.3,30,8.5,1516.5,normal
2026-06-10 13:06:45,30.4,31,8.2,1516.5,normal
2026-06-10 13:06:45,30.5,33,7.8,1516.5,normal
2026-06-10 13:06:45,30.6,30,8.5,1516.5,normal
2026-06-10 13:06:45,30.3,36,5.4,1516.5,normal
2026-06-10 13:06:45,30.3,32,13.5,1516.5,normal
2026-06-10 13:06:45,30.4,31,10.2,1516.5,normal
2026-06-10 13:06:45,30.3,36,13.3,1516.5,normal
2026-06-10 13:06:45,30.2,33,12.7,1516.5,normal
2026-06-10 13:06:45,30.3,30,12.8,1516.5,normal
2026-06-10 13:06:45,30.3,36,11.7,1516.5,normal
2026-06-10 13:06:45,30.2,33,8.0,1516.5,normal
2026-06-10 13:06:45,30.3,31,8.3,1516.5,normal
2026-06-10 13:06:45,30.2,39,13.8,1516.5,normal
2026-06-10 13:06:45,30.2,31,12.0,1516.5,normal
2026-06-10 13:06:45,30.3,30,14.3,1516.5,normal
2026-06-10 13:06:45,30.3,35,9.1,1516.5,normal
2026-06-10 13:06:45,30.3,32,13.2,1516.5,normal
2026-06-10 13:06:45,30.2,35,10.9,1516.5,normal
2026-06-10 13:06:45,30.4,28,13.3,1516.5,normal
2026-06-10 13:06:45,30.3,36,7.1,1516.5,normal
2026-06-10 13:06:45,30.2,36,9.3,1516.5,normal
2026-06-10 13:06:45,30.5,27,13.3,1516.5,normal
2026-06-10 13:06:45,30.5,36,12.1,1516.5,normal
2026-06-10 13:06:45,30.4,32,8.2,1516.5,normal
2026-06-10 13:06:45,30.3,31,12.0,1516.5,normal
2026-06-10 13:06:45,30.4,36,8.6,1516.5,normal
2026-06-10 13:06:45,30.4,36,12.1,1516.5,normal
2026-06-10 13:06:46,30.4,31,14.0,1516.5,normal
2026-06-10 13:06:46,30.3,33,7.8,1516.5,normal
2026-06-10 13:06:46,30.4,32,13.7,1516.5,normal
2026-06-10 13:06:46,30.1,38,14.3,1516.5,normal
2026-06-10 13:06:46,30.1,35,14.0,1516.5,normal
2026-06-10 13:06:46,30.4,26,7.5,1516.5,normal
2026-06-10 13:06:46,30.3,34,16.1,1516.5,normal
2026-06-10 13:06:46,30.2,37,16.4,1516.5,normal
2026-06-10 13:06:46,30.2,31,19.6,1516.5,normal
2026-06-10 13:06:46,30.3,28,11.1,1516.5,normal
2026-06-10 13:06:46,30.3,32,15.7,1516.5,normal
2026-06-10 13:06:46,30.3,36,8.6,1516.5,normal
2026-06-10 13:06:46,30.3,31,11.8,1516.5,normal
